carrier,hub,source_location_id,brand,zone,on_time_to_window,sales_channel,has_a_scope,ease_of_delivery,ease_of_scheduling,delivery_weekday,delivery_month,create_to_deliver,create_to_first_offer,create_to_visible,first_offer_to_delivery,hub_to_first_offer,ship_to_hub,visible_to_ship,create_to_ship,nps_score
PRNL,90,59,TEMPUR,Zone 2,Early,Direct to Consumer,0,5.0,5.0,5,2,16.5,10.58333333,0.708333333,5.916666667,3.041666667,4.25,2.583333333,3.0,10.0
SSYS,BRHT,75,TEMPUR,Zone 2,On time,Direct to Consumer,0,4.0,4.5,5,5,9.5,7.583333333,0.5,1.916666667,4.166666667,1.083333333,1.833333333,2.0,8.0
SSYS,TOLL,150,TEMPUR,Zone 3,Early,Direct to Consumer,0,5.0,5.0,4,1,15.375,4.541666667,0.333333333,10.83333333,1.125,1.875,1.208333333,1.0,10.0
SSYS,DAYT,75,TEMPUR,Zone 1,On time,TRS,0,5.0,5.0,3,6,8.625,4.0,0.583333333,4.625,1.416666667,0.25,1.75,2.0,10.0
PRNL,RLGH,81,TEMPUR,Zone 1,On time,Direct to Consumer,0,1.0,1.0,6,6,9.375,7.583333333,0.875,1.791666667,5.25,0.0,1.458333333,2.0,1.0
SPCG,FKLN,59,TEMPUR,Zone 1,On time,Direct to Consumer,0,5.0,5.0,6,12,19.41666667,18.58333333,0.458333333,0.833333333,3.083333333,12.54166667,2.5,2.0,10.0
PRNL,RIVE,91,TEMPUR,Zone 1,Early,Direct to Consumer,1,5.0,5.0,5,11,4.708333333,4.583333333,0.458333333,0.125,3.0,0.166666667,0.958333333,1.0,10.0
SPCG,FKLN,59,TEMPUR,Zone 1,Early,Direct to Consumer,0,2.0,3.5,7,8,8.458333333,7.583333333,0.333333333,0.875,1.208333333,0.958333333,5.083333333,5.0,10.0
NVCP,BREA,175,TEMPUR,Zone 1,Early,TRS,0,5.0,5.0,2,3,7.541666667,3.583333333,0.583333333,3.958333333,2.083333333,0.083333333,0.833333333,1.0,10.0
NVCP,RLNJ,59,TEMPUR,Zone 1,On time,TRS,0,4.0,4.5,2,9,10.58333333,6.583333333,0.625,4.0,2.083333333,0.25,3.625,4.0,9.0
PRNL,28,59,TEMPUR,Zone 1,Late,TRS,0,5.0,1.5,7,10,11.625,4.583333333,0.791666667,7.041666667,1.083333333,0.25,2.458333333,3.0,2.0
PRNL,CHIC,75,TEMPUR,Zone 1,On time,TRS,0,5.0,5.0,4,8,9.416666667,4.583333333,0.791666667,4.833333333,1.291666667,0.75,1.75,2.0,10.0
PRNL,RIVE,91,TEMPUR,Zone 1,Late,TRS,1,5.0,4.5,3,7,7.708333333,4.583333333,0.666666667,3.125,2.958333333,0.125,0.833333333,1.0,10.0
PRNL,CHIC,75,TEMPUR,Zone 1,On time,TRS,0,5.0,5.0,3,6,15.58333333,5.583333333,2.541666667,10.0,1.291666667,0.375,1.375,3.0,9.0
PRNL,CHIC,75,TEMPUR,Zone 1,Early,Direct to Consumer,0,5.0,5.0,7,2,8.333333333,6.583333333,3.416666667,1.75,1.25,0.5,1.416666667,4.0,10.0
NVCP,RLNJ,59,TEMPUR,Zone 1,On time,TRS,0,5.0,5.0,7,4,9.625,7.583333333,1.708333333,2.041666667,2.0,0.333333333,3.541666667,5.0,10.0
SPCG,SLCY,170,TEMPUR,Zone 3,Late,Direct to Consumer,0,3.0,1.0,6,4,18.70833333,14.58333333,0.666666667,4.125,10.125,2.083333333,1.708333333,2.0,5.0
SSYS,DAYT,75,TEMPUR,Zone 1,Early,TRS,0,4.5,3.0,5,12,17.45833333,8.583333333,0.666666667,8.875,6.208333333,0.541666667,1.166666667,1.0,9.0
NVCP,RLNJ,59,TEMPUR,Zone 1,On time,Direct to Consumer,1,2.0,3.0,3,12,10.5,5.583333333,0.916666667,4.916666667,1.041666667,0.291666667,3.333333333,4.0,0.0
SPCG,TERR,81,TEMPUR,Zone 2,Late,Direct to Consumer,0,5.0,2.5,7,12,24.5,16.54166667,2.666666667,7.958333333,8.0,2.708333333,3.166666667,5.0,0.0
PRNL,VEGA,160,TEMPUR,Zone 1,On time,Direct to Consumer,0,4.5,3.0,2,3,22.54166667,22.54166667,9.5,0.0,6.125,5.666666667,1.25,10.0,9.0
DRYN,AUSN,150,TEMPUR,Zone 1,Late,TRS,0,5.0,4.0,7,12,5.625,4.5,0.625,1.125,2.041666667,0.666666667,1.166666667,1.0,10.0
PRNL,ROUS,75,TEMPUR,Zone 1,Early,Direct to Consumer,0,4.5,5.0,5,3,8.5,7.583333333,0.666666667,0.916666667,1.166666667,0.625,5.125,5.0,10.0
PRNL,RICA,190,TEMPUR,Zone 1,On time,Direct to Consumer,0,5.0,5.0,5,3,6.583333333,4.583333333,0.208333333,2.0,4.0,0.0,6.041666667,6.0,10.0
